Question Numbers,Variable,English,Turkish,Korean,MEMO by Sungeun,Comments by Banu
,individualism_item13,I enjoy being unique and different from others in many ways.,Birçok yönden diğer insanlardan farklı ve özgün olmaktan zevk alırım,나는 다른사람들과 다른 나만의 개성과 독특성을 갖는 것을 즐긴다,,
,individualism_item14,The well-being of my co-workers of my co-workers is important to me.,İş arkadaşlarımın iyiliği benim için önemlidir.,나와 함께 일하는 동료들의 행복과 안녕감은 내게도 중요하다,,
,individualism_item15,I like sharing little things with my neighbors.,Komşularımla ufak tefek şeyler paylaşmayı severim,나는 작은 것이라도 이웃들과 함께 나누는 것을 좋아한다,,
,individualism_item16,What happens to me is my own doing.,Başıma gelenler benim yaptıklarımın sonucudur,나에게 일어나는 일들은 나 자신이 해결해야 하는 일이다,,
,individualism_item17,One should live one’s life independently of others.,İnsan hayatını diğerlerinden bağımsız olarak yaşamalıdır.,사람들은 타인과 독립적으로 자신의 삶을 살아야 한다,,
,individualism_item18,My happiness depends very much on the happiness of those around me.,Benim mutluluğum çevremdekilerin mutluluğuna çok bağlıdır.,나의 행복은 내 주변사람들의 행복에 달려있다(내 주변사람들이 행복해야 나도 행복하다),,
,individualism_item19,I prefer to be direct and forthright when I talk with people.,İnsanlarla konuşurken dobra ve açık sözlü olmayı tercih ederim,나는 직접적이고 명시적인 방식으로 타인과 의사소통하는 것을 선호한다,,
17,depression,Below is a list of the ways you might have felt or behaved. Please tell me how often you have felt this way during the past week.  (Show the cards),Lütfen geçen hafta boyunca asagidaki ifadeleri ne sıklıkla hissettiğinizi veya yaşadığınızı belirtin.,다음의 문항들은 당신이 경험할 수 있는 기분이나 행동에 관한 것입니다. 지난 한 주동안 얼마나 종종 다음을 경험했는지 답해주십시오,,
,how_often1,Rarely or none of the time (less than 1 day),Hiçbir Zaman - Nadiren (1 günden daha az),거의 경험하지 않았음 (1일 이내),,
,how_often2,Some or a little of the time (1-2 days),Birazcık - Birkaç Kez (1-2gün),약간 경험하였음 (1-2일 정도),,
,how_often3,Occasionally or a moderate amount of time (3-4 days),Arada Sırada - Bazen (3-4gün),보통 이상으로 경험하였음 (3-4일 정도),,
,how_often4,Most or all of the time (5-7 days),Çokça - Çoğu Zaman (5-7 gün),대부분의 시간 경험하였음 (5-7일),,
,depression_item1,I was bothered by things that usually don’t bother me.,Genellikle canımı sıkmayan şeyler canımı sıktı.,평소에는 아무렇지도 않던 일들이 귀챦고 힘들게 느껴졌다,,
,depression_item2,I did not feel like eating; my appetite was poor.,"Açlık hissetmedim, iştahım yerinde değildi.",입맛이 없고 아무것도 먹고싶지 않았다,,
,depression_item3,I felt that I could not shake off the blues even with help from my family or friends,Arkadaşlarım veya ailemin yardımına rağmen kötü ruh halinden kurtulamadım.,가족이나 친구가 도와준다해도 울적한 기분을 떨쳐버릴 수 없을 것 같았다,,
,depression_item4,I felt I was just as good as other people.,Ruh halimin diğer insanlar kadar iyi olduğunu hissettim.,내 자신이 다른사람들만큼은 괜챦다고 느꼈다,,
,depression_item5,I had trouble keeping my mind on what I was doing.,Yaptığım işe odaklanmakta zorlandım,내가 하는 일들에 집중하기가 어려웠다,,
,depression_item6,I felt depressed.,Kendimi depresyonda hissettim,우울했다,,
,depression_item7,I felt that everything I did was an effort.,Herşeye çaba harcamam gerektiğini hissettim,모든 일들이 다 힘들게 느껴졌다,,
,depression_item8,I felt hopeful about the future.,Gelecek için umutlu hissettim.,미래에 대해 희망적으로 느꼈다,,
,depression_item9,I thought my life had been a failure.,Hayatımın bir başarısızlık olduğunu düşündüm,내 인생은 실패작이라는 생각이 들었다,,
,depression_item10,I felt fearful,Korktuğumu hissettim,두려움을 느꼈다,,
,depression_item11,My sleep was restless.,Huzursuz uyudum,잠을 설쳤다,,
,depression_item12,I was happy,Mutluydum,행복했다,,
,depression_item13,I talked less than usual.,Her zamankinden az konuştum,평소보다 말수가 줄었다,,
,depression_item14,I felt lonely,Kendimi yalnız hissettim,외로움을 느꼈다,,
,depression_item15,People were unfriendly.,İnsanlar arkadaş canlısı değildi,사람들이 불친절하게 대하는 것 같았다,,
,depression_item16,I enjoyed life.,Yaşamdan zevk aldım,생활이 즐거웠다,,
,depression_item17,I had crying spells,Ağlama nöbetleri geçirdim.,갑자기 울음이 쏟아졌다,,
,depression_item18,I felt sad,Kendimi üzgün hissettim,슬펐다,,
,depression_item19,I felt that people dislike me,İnsanların benden hoşlanmadığını hissettim,사람들이 나를 싫어하는 것 같았다,,
,depression_item20,Things did not go well,İşler yolunda gitmedi,제대로 되는 일이 없었다,,
18,instructions3,"WE ALL GO THROUGH HARD TIMES IN OUR LIVES and sometimes we find it difficult to resolve these problems, and do not know what to do. You may also have gone through a similar period in your life-time.",HEPİMİZİN HAYATINDA ZOR DÖNEMLER OLUYOR ve bazen sorunlarımıza çözüm bulmakta zorluk çekiyor ve ne yapacağımızı bilemeyebiliyoruz.  Sizin de hayatınızda böyle dönemleriniz olmuş olabilir.  ,살다보면 누구나 어려운 시기가 있고 나에게 닥친 문제들을 어떻게 해결해야 할지 난감하고 뭘 어떻게 해야 할지 모르겠는 그런 때가 있습니다. 당신도 어쩌면 살면서 이런 시기를 경험했을 수 있습니다.,,
18a,suicide_a,"Have you ever thought about or attempted to kill yourself, within your life-time?","Tüm yaşamınızı düşünecek olursanız, hayatınız boyunca hiç hayatınıza son vermeyi düşündünüz mü veya hayatınıza son verme girişiminde bulundunuz mu?",평생 한 번이라도 자살을 하려고 생각해보거나 시도해 본 적이 있습니까?,,
,suicide_a1, Never,"Hayır, hayatıma son vermeyi hiç düşünmedim",전혀 없다,,
,suicide_a2,It was just a brief passing thought,Hayatıma son verme düşüncem oldu ama bu sadece gelip geçici bir düşünceydi ,스쳐지나가듯 생각해 보았다,,
,suicide_a3,"I have briefly thought to kill myself, but I was not serious about it",Kısa bir süre için hayatımı sonlandırmayı düşündüm fakat ciddi değildim,심각하게 생각했던 것은 아니지만 자살을 하려는 생각을 잠시 해 본 적이 있다,,
,suicide_a4,I have had a plan at least once to kill myself but did not try to do it,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ama bunu gerçekleştirmeyi denemedim,자살을 하려고 계획을 세워 본 적이 있다. 하지만 실제 시도를 하지는 않았고 정말 죽고 싶었던 것은 아니다,,
,suicide_a5,I have had a plan at least once to kill myself and really wanted to die,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ve ciddi olarak ölmeyi düşündüm,"자살을 하려고 계획을 세워 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
,suicide_a6,"I have attempted to kill myself, but did not want to die",Hayatımı sonlandırmak için girişimde bulundum ama sanırım gerçekten ölmek istemiyordum,자살을 시도해 본 적이 있다. 하지만 정말로 죽고 싶었던 것은 아니다,,
,suicide_a7,"I have attempted to kill myself, and really hoped to die",Hayatımı sonlandırmak için girişimde bulundum ve sanırım gerçekten ölmeyi umdum,"자살을 시도해 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
18b,suicide_b,Have you ever thought about or attempted to kill yourself within the last year (12 months)?,"Peki, son bir senede/12 ayda, hayatınıza son vermeyi düşündünüz mü veya hayatınıza son verme girişiminde bulundunuz mu?",지난 일 년동안(12개월 이내) 자살을 하려고 생각해 보았거나 시도해 본 적이 있습니까?,,
,suicide_b1, Never,"Hayır, hayatıma son vermeyi hiç düşünmedim",전혀 없다,,"BC: NEW ADDITION, THE ANSWER CHOICES WERE NOT THERE, I COPY AND PASTE IT FROM PRIOR QUESTION ON LIFETIME SUICIDAL IDEATION/ATTEMPT"
,suicide_b2,It was just a brief passing thought,Hayatıma son verme düşüncem oldu ama bu sadece gelip geçici bir düşünceydi ,스쳐지나가듯 생각해 보았다,,
,suicide_b3,"I have briefly thought to kill myself, but I was not serious about it",Kısa bir süre için hayatımı sonlandırmayı düşündüm fakat ciddi değildim,심각하게 생각했던 것은 아니지만 자살을 하려는 생각을 잠시 해 본 적이 있다,,
,suicide_b4,I have had a plan at least once to kill myself but did not try to do it,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ama bunu gerçekleştirmeyi denemedim,자살을 하려고 계획을 세워 본 적이 있다. 하지만 실제 시도를 하지는 않았고 정말 죽고 싶었던 것은 아니다,,
,suicide_b5,I have had a plan at least once to kill myself and really wanted to die,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ve ciddi olarak ölmeyi düşündüm,"자살을 하려고 계획을 세워 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
,suicide_b6,"I have attempted to kill myself, but did not want to die",Hayatımı sonlandırmak için girişimde bulundum ama sanırım gerçekten ölmek istemiyordum,자살을 시도해 본 적이 있다. 하지만 정말로 죽고 싶었던 것은 아니다,,
,suicide_b7,"I have attempted to kill myself, and really hoped to die",Hayatımı sonlandırmak için girişimde bulundum ve sanırım gerçekten ölmeyi umdum,"자살을 시도해 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
,function_a,"During the past 4 weeks, did you have any problems with your work or other regular daily activities as a result of any emotional problems (such as feeling depressed or anxious)?",Son bir ay (4 hafta) içinde duygusal sorunlar nedeniyle (depresyon veya sıkıntı gibi nedenlerle) yaptığınız işler veya günlük aktiviteleriniz sırasında herhangi bir problem yaşadınız mı?,"지난 4주 동안 당신이 가지고 있는 정서적인 문제들(예: 우울, 불안)때문에 일상생활이나 직장에서 문제를 경험한 적이 있습니까?",,
,function_b,Have you accomplished less than you would like in your work or daily activities as a result of these emotional problems?,"Bu duygular yüzünden, yapacağınız işlerin veya günlük aktivitelerin normalde yapabileceğinizden daha azını yaptığınız oldu mu?",이러한 정서적인 문제들때문에 일상생활이나 직장에서 당신이 해야하는 일들을 하지 못했거나 성취도가 떨어졌습니까?,,
, times1, All of the time,Her zaman,항상,,
, times2,Most of the time,Çoğu zaman ,대부분,,
, times3,Some of the time,Bazen,가끔,,
, times4,A little of the time,Az bir zaman (ara sıra) ,약간,,
, times5,None of the time,Hiçbir zaman ,전혀,,
,function_c,Have done your work or other regular daily activities less carefully than usual as a result of these emotional problems?,"Bu duygular yüzünden, yaptığınız işlere veya günlük aktivitelere daha az dikkatinizi verdiğiniz oldu mu? ",이러한 정서적인 문제들때문에 일상생활이나 직장에서 평소보다 덜 주의깊게 일을 했습니까?,,"To SAPNE: We would have the response choices 'times' for this question as well, right?"
,trauma_a,"Most of the people may witness or live a stressful and traumatic event in any period of their lives. A serious accident, natural disasters like fire, earthquake, domestic violence (beatingws, manhandling), sexual abuse, bereavement, sudden death of loved-one or a loved one taking one’s own life and many others can be examples for traumatic events that people experience. Have you experienced any serious and/or traumatic events in your life, such as the ones mentioned above?","Birçok kişi, hayatının herhangi bir döneminde, oldukça stresli ve travmatik bir olay yaşamış ya da böyle bir olaya tanık olmuştur. Ciddi bir kaza, yangın, deprem gibi doğal afetler, aile içinde şiddet (dövme, tartaklama), cinsel taciz, sevilen bir insanın ani ölümü veya hayatını sonlandırması travmatik olaylara birer örnektir. Ve daha niceleri insanların başına gelebilmektedir.  Siz bunlar gibi ciddi, travmatik, hayatınızı çok etkilemiş bir olay yaşadınız mı?","대부분의 사람들은 살면서 스트레스 사건 또는 트라우마 사건들을 목격하거나 경험하게 됩니다. 심각한 사고, 화재, 지진과 같은 자연재해, 가정폭력, 성폭력, 사별, 사랑하는 사람의 급작스러운 죽음 등이 사람들이 경험할 수 있는 트라우마 사건의 예들입니다. 당신은 살면서 위에서 언급한 사건들과 같은 트라우마성 사건을 경험해 보신 적이 있습니까?",,
,trauma_b,Did you experience these kinds of events more than once?,Bu tür olaylardan birden fazla defa mı yaşadınız?,이러한 사건들을 한 번 이상 경험하셨습니까?,,
,"HERE THERE HAS TO BE A RESPONSE CHOICE, RIGHT? YES/NO",,,,,
,trauma_c,When did you experience this/these events?,Bu olayı veya olayları ne zaman yaşadınız?,이러한 사건들을 언제 경험하셨습니까?,,
, childhood1, In childhood (age between 0-17),Çocuklukta (0-17 yaş),아동기(0-17세),,
, childhood2,In adulthood (after age 18),Erişkin iken (18 sonrası),성인기(18세 이후),,
, childhood3,Both in childhood and adulthood,Hem çocuklukta hem erişkinken,아동기와 성인기 모두,,
,religious_dominations,What is your religion?,Bu ifadelerden hangisi inancinizi en iyi yansitir?,당신의 종교는 무엇입니까?,,
,"HERE THERE WILL BE RESPONSE CHOICES, RIGHT?",,,,,
,religious_a,Please rate how much you agree with these statements ranging from definitely not true of me to definitely true of me.,Lütfen aşağıdaki ifadelere ne derece katıldığınızı belirtin,아래의 문항에 얼마나 동의하는 지를 평정해 주십시오.,,
,how_true1, Definitely not true,Hiç katılmıyorum,전혀 그렇지 않다,,
,how_true2,Tends not to be true,Katılmıyorum,그렇지 않다,,
,how_true3,Unsure Tends to be true,Katılıyorum,잘 모르겠지만 그런 것 같다,,
,how_true4,Definitely true of me,Tamamen katılıyorum,매우 그렇다,,
,religious_a_item1,"In my life, I experience the presence of the Divine (i.e., God)",Hayatımda Allah/Tanrı’nın varlığını hissederim,내 인생에서 나는 신의 존재를 경험했다,,
,religious_a_item2,My religious beliefs are what really lie behind my whole approach to life,Hayat yaklaşımımın temelinde dini inançlarım yatar,내 삶 전반에는 나의 종교적 신념들이 깔려있다,,
,religious_a_item3,I try hard to carry my religion over into all other dealings in life,Dini inançlarımı hayatımın her alanına taşımaya özen gösteririm,나는 생활의 모든 측면에서 나의 종교적 믿음을 지키려고 상당히 노력한다,,
,religious_b,How often did you pray or practiced your religion in a sanctuary (mosque/djemevi/church/synagogue)?,"Son bir ayda, ne sıklıkta cami/cemevi/kilise/sinagog gibi ibadet yerlerinde ibadet ettiniz veya dua ettiniz?",당신은 얼마나 자주 예배당(교회나 절 등)에 가서 기도를 하거나 예배를 드립니까?,,
,religious_c,How often did you pray or practiced your religion by yourself outside of a sanctuary within the last month ?,"Son bir ayda, ne sıklıkta ibadet yerlerinde yaptığınız ibadet haricinde, kendi başınıza ibadet ettiniz veya dua ettiniz?",지난 달에 얼마나 자주 예배당(교회나 절 등) 밖에서 스스로 기도를 하거나 예배를 드렸습니까?,,
,how_religious,"Regardless of how often you pray, to what extend you think you are religious? From 'not religious at all' to 'very religious', how many points would you give yourself ?","Ne sıklıkta ibadet ettiğinize bakmaksızın, kendinizi ne derece dindar biri olarak görürsünüz? ‘0’ hiç dindar değil, ‘10’ ise çok dindar anlamına gelecek şekilde not verecek olsanız siz kendinize kaç puan verirsiniz?",얼마나 자주 기도를 드리는지와 상관없이 당신은 당신이 얼마나 종교적이라고 생각하십니까? '전혀 종교적이지 않다'에서 '매우 종교적이다'이다 중에서 자신을 평정해 주십시오.,,
,how_religious1,Not religious at all,Hiç dindar değilim,전혀 종교적이지 않다,,
,how_religious2,Very religious,"Çok
dindarım
",매우 종교적이다,,
,demographics_a,How many years have you been living in your current city/town/village ?,Kaç senedir bu şehirde/kasabada/köyde bulunuyorsunuz?,현재 거주하는 도시/마을에서 몇 년 동안 사셨습니까?,,
,demographics_b,In which city were you born ?,Hangi şehirde doğdunuz?,귀하의 출생도시는 어디입니까?,,
,demographics_c,"Were you born in a city center, in a suburb or in a village ?","Bu ilin merkezinde mi, merkez dışında bir ilçesinde mi, yoksa bir köyünde mi doğdunuz?","도시, 교외, 작은 마을이나 비도시 지역 중 어디에서 태어나셨습니까?",,
,demographics_c1,At the center,Merkezinde,"도시(서울, 부산 등의 광역시)",,
,demographics_c2,In a suburb,Merkez dışında,도시 근교의 교외지역,,
,demographics_c3,In a town or village,Köyünde,작은 마을(군 이하),,
,demographics_d,What kind of a settlement was the longest place that you have lived so far?,"Bugüne kadar en uzun yaşadığınız yer, nasıl bir yerdi?",지금까지 가장 오래사신 곳은 어떤 곳입니까?, I deleted 'Town' because we don't have such classfications.,"(BC: is town or village considered rural in the US? İf so, yeas let's combine town or village in english, and you translate it as rural.)"
,demographics_d1,Big city center,Büyük şehir merkezi,"대도시(서울, 부산 등의 광역시)",,
,demographics_d2,City,Şehir,도시(광역시 이외의 시),,
,demographics_d3,Town,Kasaba,,,
,demographics_d4,Village,Köy,비도시지역(군이하),,
,demographics_d5,Abroad (town or village),Yurtdışı - Köy/Kasaba,해외(중소도시나 비도시지역의 작은 마을),,
,demographics_d6,Abroad (city or big city),Yurtdışı - Şehir/Büyük Şehir,해외(도시 또는 대도시),,
,demographics_e,"Have you ever moved from one city or town to another city, town, or country ?",Bugüne kadar hiç bir şehirden başka bir şehire ya da başka bir ülkeye taşındınız mı?,살면서 살던 지역 이외의 다른 지역이나 해외로 이사를 해 보신 적이 있습니까?,,
,demographics_f,"How many times have you moved from one city or town to another city, town or country?",Kaç kere bir şehirden bir başka şehire ya d abaşka bir ülkeye taşındınız?,다른 지역이나 해외를 이사를 해 보셨다면 몇 번이나 해 보셨습니까?,,
,demographics_g,"Including yourself, how many people reside at your current residence ?","Siz dâhil, şu an yaşadığınız evde kaç kişi yaşıyor?",귀하를 포함하여 현재 거주지에서 함께 사는 사람은 몇 명입니까?,,
,live_with,With whom do you live with? (You can choose more than one.),Kimlerle yaşıyorsunuz?(Birden fazla seçenek işaretleyebilirsiniz.),현재 귀하와 함께 살고 계신 분은 누구입니까? (해당하는 사람에 모두 체크하시오),,
, live_with1,Mother and/or father,Anne ve/veya Babam,어머니/아버지,,
, live_with2,Siblings ,Kardeşlerim,형제/자매,,
, live_with3,Grandparents,Büyükanne ve/veya Büyükbabam,조부모님(할머니/할아버지),,
, live_with4,Other relatives ,Diğer akrabalarım,기타 친척,,
, live_with5,Own children,Çocuklarım,자녀,,
, live_with6,Husband or wife,Eşim,배우자(남편/아내),,
, live_with7,Significant other,Sevgilim,동거인(애인),,
, live_with8,Friend/friends,Arkadaşlarım,친구(들),,
, live_with9,I live by myself,Tek yaşıyorum,혼자 살고 있음,,
,demographics_i,Are you the person who contributes the most to the income of the household?,Haneye asıl gelir getiren kişi siz misiniz?,귀하는 귀하의 가계에 가장 큰 기여를 하는 분이십니까?,,
,demographics_j,Please indicate your highest level of education?,Lütfen en son bitirdiğiniz okulu söyler misiniz?,귀하의 최종학력을 표기해 주십시오,,
,grad1, None (never gone to school or dropped out),Okula gitmedi/İlkokul terk,무학,,
,grad2,Elemantary school,İlkokul,초등학교(국민학교),,
,grad3,Middle school,Ortaokul,중학교,,
,grad4,High school,Lise,고등학교,,
,grad5,College degree,Üniversite,대학,,
,grad6,Graduate school,Lisansüstü,대학원,,
,demographics_k,What is your current job status?,Şu an çalışma durumuzu öğrenebilir miyim?,현재 귀하의 직업 상태는 어떠하십니까?,,
,employment1,Full-time employee (with insurance coverage),Maaş ya da ücret karşılığı tam zamanlı çalışıyorum (sigortalı),정규직 고용인(4대보험 보장),,
,employment2,Part-time employee (without insurance coverage),Maaş ya da ücret karşılığı yarı zamanlı çalışıyorum (sigortasız),비정규직 고용인(4대보험 보장안됨),,
,employment3,Self-employer with more than 10 employees,Kendi hesabıma çalışıyorum (10'dan fazla çalışanım var),자영업자(피고용인 10인 이상),,
,employment4,Self-employer with less than 9 employees,Kendi hesabıma çalışıyorum (9'dan az çalışanım var),자영업자(피고용인 9명 이하),,
,employment5,Unemployed,"Gelir getiren bir işim yok, çalışmıyorum",실직상태,,
,employment6,Retired,Emekliyim,퇴직,,
,employment7,Housewife,Ev kadını,주부,,
,employment8,Students,Öğrenci,학생,,
,employment9,Others,Diğer,기타 친척,,
,demographics_l,What is your current occupation? (Please answer if you chose 1-4 on the above question),Ne işle uğraştığınızı/ mesleğinizi söyler misiniz?,현재 귀하의 직업은 무엇입니까?,,
,occupation1,Managers (examples Administrative and Business Support Management Occupations) ,Yönetici,"관리자 (공공기관 및 기업고위 임원, 기업체 경영주, 고급 공무원, 전문서비스 관리직, 교장·교감·원장, 기업 및 업체 관리자, 건설·전기 및 생산관련 관리직, 판매 및 고객서비스 관리직 등)",,
,occupation2,"Professionals and Related Workers (examples Science, education, engineering, legal and the like professionals)","Profesyonel ve bağlantılı meslek mensupları (avukat, doktor, mimar, mühendis vb.)","전문가 및 관련 종사자 (연구원, 전문가, 개발자, 프로그래머, 기술자, 분석가, 법조인, 회계사, 의사, 교수, 교사, 간호사, 사회복지사, 종교인, 예술인, 매니저, 조종사, 기관사 등)",,
,occupation3,"Clerks (administratin, accounting, consulting occupations and the like)","Büro hizmetlerinde çalışan elemanlar (tezgahtarlar, yazıcılar, sekreter, muhasabe, danışman vb)","사무직 종사자 (회사원, 일반 공무원, 사무원, 비서, 보조원, 전산관리원, 보험 사무원, 고객상담 및 기타 사무원, 전화상담원, 방송안내원 등)",,
,occupation4,"Service workers (examples police, fire fight, security, hair dressing , medical assistance and the like)","Hizmet elemanları (polis, itfaiye, güvenlik görevlisi, berber vb)","서비스업 종사자 (소방관, 교도관, 경호원, 간병인, 이용사, 미용사, 관리사, 분장사, 혼례 및 장례 종사자, 점술가, 무속인, 운송서비스 종사자, 객실 승무원, 숙박시설 서비스원, 주방장 및 조리사)",,
,occupation5,"Sales workers (sales, store sales, door to door occupations and the like)","Satış elemanları (mağaza, market çalışanları, satıcı/seyyar vb.)","판매 종사자 (영업종사자, 보험중개인, 상점 판매원, 매표원, 방문판매원, 행사 및 홍보 도우미)",,
,occupation6,Skilled agricultural,Tarım ustaları,농업 종사자,,
,occupation7,forestry and fishery workers,Ormancılık ve balıkçılık meslekleri,임어업 종사자,,
,occupation8,"Craft and related trade workers (textile, clothing, wood, furniture and the like related trade occupations)",El sanatları ve benzer meslekler,"기능원 및 관련 기능 종사자 (제빵 및 제과원, 재단사, 가구제조원, 목재·가구·악기 및 간판 관련 기능 종사자, 용접원, 자동차 정비원, 전기공, 건설관련 기능 종사자, 통신 및 관련 장비 설치 및 수리원)",,
,occupation9,"Equipment workers (Textile, Clothing and Shoes, food processing and the like Related Machine Operating Occupations)","Fabrika, tesis ve makina operatörleri ile montajcılar (tekstil, giyim, ayakkabı, gıda vb.)","장치기계조작 및 조립 종사자(식품가공관련 기계조작원, 섬유 및 신발관련 기계조작직, 철도 기관사, 화물열차 차장 및 관련 종사원, 택시 운전원, 버스 운전원, 승합차 운전원,",,
,occupation10,"Elementary workers (Construction and Mining, Transport, Production Related Elementary)","Basit meslekler (İnşaat, maden, ulaşım, üretim işçisi)","단순노무 종사자 (건설 관련 단순 종사원, 이삿짐 운반원, 우편물 집배인, 택배원, 청소원, 경비원, 주유원, 주차관리원, 농림어업 단순노무직)",,
,occupation11,Household Chores Occupations,Hizmetli,가사도우미,,
,occupation12,Armed forces,Silahlı kuvvetlerle ilgili meslekler,군인,,
,occupation13,Others,Diğer,기타,,
,demographics_m,"Compared to your immediate environment, how would you rate your own income level?","Yakın çevrenizi düşünecek olursanız (mesela içinde yaşadığınız köyünüz/köyde; değilseniz ilçeniz/ilçede değilseniz ilinizi), çevrenize göre kendinizin gelir düzeyinin nasıl olduğunu düşünüyorsunuz?","귀하의 가까운 주변사람들과 비교해 보았을 때, 현재 귀하의 수입을 다음 중 하나로 평정해 주십시오.",,
,income_level1, Very Good,Çok iyi,매우 좋은 편이다,,
,income_level2,Good,İyi,좋은 편이다,,
,income_level3,Fair,Orta,적당하다,,
,income_level4,Poor,Kotü,나쁜 편이다,,
,income_level5,Very Poor,Çok kötü,매우 나쁜 편이다,,
,demographics_n,"Compared to the average income level of your country, how would you rate your own income level?","Ülkemizdeki ortalama gelir düzeyini düşündüğünüzde, kendinizi hangi gelir grubuna ait görüyorsunuz?","국가전체의 평균 수입수준을 고려해 보았을 때, 현재 귀하의 수입수준을 다음 중 하나로 평정해 주십시오.",,
,income_rate, Lower income group,Alt gelir grubu,하위권,,
,income_rate,Lower than middle income group,Ortanın altı gelir grubu,중하위권,,
,income_rate,Middle income group,Orta gelir grubu,중위권,,
,income_rate,Higher than middle income group,Ortanın üstü gelir grubu,중상위권,,
,income_rate,Upper income group,Üst gelir grubu,상위권,,
,demographics_o,What is your net total monthly income?,Toplam aylık geliriniz  hangi aralıklardadır?,당신의 현재 한달 순수입은 어느 정도입니까?,changed accordingly,"(BC: I actually asked for montly income in my on-the-ground representative study -- what would be monthly division as you know it? Or is it more common to ask for yearly income in US and Korean studies? If so , we shall go by that ) "
,income1," Monthly Less than $1,000",Ayda 500 TL'nın altında,100만원 이하,,
,income2,"Monthly $1,001 - $1,500",Ayda 501 - 1000 TL arası,101-150만원,,
,income3,"Monthly $1,501 - $2,500",Ayda 1001 - 1500 TL arası,151-250만원,,
,income4,"Monthly $2,501 - $4,000",Ayda 1501 - 2500 TL arası,251-400만원,,
,income5,"Monthly $4,001 - $6,500",Ayda 2501 - 3500 TL arası,401-650만원,,
,income6,"Monthly $6,501 - $8,500",Ayda 3501 - 5000 TL arası,651-850만원,,
,income7,"Monthly $8,501 - $12,500",Ayda 5001 - 7000 TL arası,851-1250만원,,
,income8,"Monthly $12,501 - $21,000",Ayda 7000 - 9000 TL arası,1251-2100만원,,
,income9,"Monthly $21,001 or more",Ayda 9001 TL ve üstü,2101만원 이상,,
"ADD HERE ETHNICITY QUESTION PLEASE, THE WAY IT IS USED ORIGINALLY IN US SAMPLES?",,,,,,